DATE,CONFIRMED,DEATHS,RECOVERED,OPEN CASES
Jan 22,0,0,0,0
Jan 23,0,0,0,0
Jan 24,0,0,0,0
Jan 25,0,0,0,0
Jan 26,1,0,0,1
Jan 27,1,0,0,1
Jan 28,2,0,0,2
Jan 29,2,0,0,2
Jan 30,2,0,0,2
Jan 31,4,0,0,4
Feb 01,4,0,0,4
Feb 02,4,0,0,4
Feb 03,4,0,0,4
Feb 04,4,0,0,4
Feb 05,5,0,0,5
Feb 06,5,0,0,5
Feb 07,7,0,0,7
Feb 08,7,0,0,7
Feb 09,7,0,0,7
Feb 10,7,0,0,7
Feb 11,7,0,0,7
Feb 12,7,0,1,6
Feb 13,7,0,1,6
Feb 14,7,0,1,6
Feb 15,7,0,1,6
Feb 16,7,0,1,6
Feb 17,8,0,1,7
Feb 18,8,0,1,7
Feb 19,8,0,1,7
Feb 20,8,0,1,7
Feb 21,9,0,3,6
Feb 22,9,0,3,6
Feb 23,9,0,3,6
Feb 24,10,0,3,7
Feb 25,11,0,3,8
Feb 26,11,0,3,8
Feb 27,13,0,6,7
Feb 28,14,0,6,8
Feb 29,20,0,6,14
Mar 01,24,0,6,18
Mar 02,27,0,6,21
Mar 03,30,0,6,24
Mar 04,33,0,6,27
Mar 05,37,0,6,31
Mar 06,49,0,6,43
Mar 07,54,0,8,46
Mar 08,64,0,8,56
Mar 09,77,1,8,68
Mar 10,79,1,8,70
Mar 11,108,1,8,99
Mar 12,117,1,8,108
Mar 13,193,1,8,184
Mar 14,198,1,8,189
Mar 15,252,1,8,243
Mar 16,415,4,9,402
Mar 17,478,5,9,464
Mar 18,657,8,9,640
Mar 19,800,9,9,782
Mar 20,943,12,9,922
Mar 21,1277,19,10,1248
Mar 22,1469,21,10,1438
Mar 23,2088,25,10,2053
Mar 24,2790,26,110,2654
Mar 25,3251,30,183,3038
Mar 26,4042,38,184,3820
Mar 27,4682,54,256,4372
Mar 28,5563,61,466,5036
Mar 29,6267,64,466,5737
Mar 30,7385,80,466,6839
Mar 31,8514,101,1592,6821
Apr 01,9547,109,1324,8114
Apr 02,11271,138,1735,9398
Apr 03,12424,178,2175,10071
Apr 04,12965,217,2577,10171
Apr 05,15743,258,3012,12473
Apr 06,16550,338,3256,12956
Apr 07,17859,374,3791,13694
Apr 08,19128,406,4154,14568
Apr 09,20641,502,5162,14977
Apr 10,22046,556,5855,15635
Apr 11,23303,653,6589,16061
Apr 12,24286,713,7123,16450
Apr 13,25667,780,7758,17129
Apr 14,27022,900,8210,17912
