DATE,CANADA,USA
Jan 22,0,1
Jan 23,0,1
Jan 24,0,2
Jan 25,0,2
Jan 26,1,5
Jan 27,1,5
Jan 28,2,5
Jan 29,2,5
Jan 30,2,5
Jan 31,4,7
Feb 01,4,8
Feb 02,4,8
Feb 03,4,11
Feb 04,4,11
Feb 05,5,11
Feb 06,5,11
Feb 07,7,11
Feb 08,7,11
Feb 09,7,11
Feb 10,7,11
Feb 11,7,12
Feb 12,7,12
Feb 13,7,13
Feb 14,7,13
Feb 15,7,13
Feb 16,7,13
Feb 17,8,13
Feb 18,8,13
Feb 19,8,13
Feb 20,8,13
Feb 21,9,15
Feb 22,9,15
Feb 23,9,15
Feb 24,10,51
Feb 25,11,51
Feb 26,11,57
Feb 27,13,58
Feb 28,14,60
Feb 29,20,68
Mar 01,24,74
Mar 02,27,98
Mar 03,30,118
Mar 04,33,149
Mar 05,37,217
Mar 06,49,262
Mar 07,54,402
Mar 08,64,518
Mar 09,77,583
Mar 10,79,959
Mar 11,108,1281
Mar 12,117,1663
Mar 13,193,2179
Mar 14,198,2727
Mar 15,252,3499
Mar 16,415,4632
Mar 17,478,6421
Mar 18,657,7783
Mar 19,800,13677
Mar 20,943,19100
Mar 21,1277,25489
Mar 22,1469,33276
Mar 23,2088,43847
Mar 24,2790,53740
Mar 25,3251,65778
Mar 26,4042,83836
Mar 27,4682,101657
Mar 28,5563,121478
Mar 29,6267,140886
Mar 30,7385,161807
Mar 31,8514,188172
Apr 01,9547,213372
Apr 02,11271,243453
Apr 03,12424,275586
Apr 04,12965,308850
Apr 05,15743,337072
Apr 06,16550,366667
Apr 07,17859,396223
Apr 08,19128,429052
Apr 09,20641,461437
Apr 10,22046,496535
Apr 11,23303,526396
Apr 12,24286,555313
Apr 13,25667,580619
Apr 14,27022,607670
